Country,Year,LPI Rank,LPI Score,Customs,Customs,Infrastructure,Infrastructure,International shipments,International shipments,Logistics competence,Logistics competence,Tracking & tracing,Tracking & tracing,Timeliness,Timeliness
Albania,2018,88,2.66,114,2.35,110,2.29,69,2.82,92,2.56,95,2.67,73,3.2
SÃ£o TomÃ© and PrÃ­ncipe,2018,89,2.65,57,2.71,106,2.33,121,2.42,84,2.65,81,2.78,97,3.01
Djibouti,2018,90,2.63,113,2.35,60,2.79,118,2.45,135,2.25,72,2.85,85,3.15
Burkina Faso,2018,91,2.62,100,2.41,95,2.43,60,2.92,106,2.46,124,2.4,95,3.04
Armenia,2018,92,2.61,81,2.57,86,2.48,95,2.65,97,2.5,113,2.51,111,2.9
Honduras,2018,93,2.6,125,2.24,88,2.47,93,2.66,75,2.72,93,2.68,118,2.83
Sri Lanka,2018,94,2.6,79,2.58,85,2.49,112,2.51,109,2.42,78,2.79,122,2.79
Cameroon,2018,95,2.6,90,2.46,76,2.57,63,2.87,87,2.6,118,2.47,142,2.57
Mali,2018,96,2.59,133,2.15,109,2.3,88,2.7,107,2.45,54,3.08,119,2.83
Malawi,2018,97,2.59,94,2.43,126,2.18,105,2.55,82,2.68,94,2.67,102,2.97
Cambodia,2018,98,2.58,109,2.37,130,2.14,71,2.79,111,2.41,111,2.52,84,3.16
Uzbekistan,2018,99,2.58,140,2.1,77,2.57,120,2.42,88,2.59,90,2.71,91,3.09
Bangladesh,2018,100,2.58,121,2.3,100,2.39,104,2.56,102,2.48,79,2.79,107,2.92
El Salvador,2018,101,2.58,120,2.3,114,2.25,86,2.71,91,2.56,117,2.47,90,3.1
Uganda,2018,102,2.58,76,2.61,124,2.19,78,2.76,99,2.5,123,2.41,110,2.9
Belarus,2018,103,2.57,112,2.35,92,2.44,134,2.31,85,2.64,109,2.54,78,3.18
Solomon Islands,2018,104,2.57,52,2.77,120,2.21,142,2.2,73,2.73,126,2.37,87,3.12
Tunisia,2018,105,2.57,107,2.38,133,2.1,115,2.5,123,2.3,71,2.86,70,3.24
Ghana,2018,106,2.57,92,2.45,90,2.44,109,2.53,95,2.51,106,2.57,115,2.87
Comoros,2018,107,2.56,72,2.62,113,2.25,116,2.49,138,2.21,68,2.93,120,2.8
Kyrgyz Republic,2018,108,2.55,55,2.75,103,2.38,138,2.22,114,2.36,99,2.64,106,2.94
Morocco,2018,109,2.54,115,2.33,93,2.43,103,2.58,101,2.49,112,2.51,114,2.88
Nigeria,2018,110,2.53,147,1.97,78,2.56,110,2.52,112,2.4,92,2.68,92,3.07
Zambia,2018,111,2.53,129,2.18,108,2.3,54,3.05,103,2.48,158,1.98,94,3.05
"Bahamas, The",2018,112,2.53,61,2.68,98,2.41,114,2.5,130,2.27,110,2.52,125,2.75
Jamaica,2018,113,2.52,99,2.42,107,2.32,107,2.53,94,2.54,116,2.48,121,2.79
Nepal,2018,114,2.51,122,2.29,123,2.19,129,2.36,105,2.46,98,2.65,89,3.1
Congo,2018,115,2.49,123,2.27,138,2.07,64,2.87,127,2.28,125,2.38,103,2.95
Moldova,2018,116,2.46,124,2.25,141,2.02,90,2.69,122,2.3,142,2.21,82,3.17
Algeria,2018,117,2.45,138,2.13,96,2.42,122,2.39,113,2.39,103,2.6,124,2.76
Togo,2018,118,2.45,119,2.31,116,2.23,111,2.52,134,2.25,120,2.45,112,2.88
Georgia,2018,119,2.44,95,2.42,102,2.38,124,2.38,132,2.26,139,2.26,105,2.95
"Congo, Dem. Rep. of the",2018,120,2.43,108,2.37,132,2.12,127,2.37,100,2.49,114,2.51,133,2.69
Sudan,2018,121,2.43,136,2.14,125,2.18,102,2.58,96,2.51,115,2.51,139,2.62
Pakistan,2018,122,2.42,139,2.12,121,2.2,97,2.63,89,2.59,136,2.27,136,2.66
Chad,2018,123,2.42,134,2.15,104,2.37,125,2.37,86,2.62,127,2.37,138,2.62
Trinidad and Tobago,2018,124,2.42,96,2.42,101,2.38,101,2.59,129,2.27,135,2.27,144,2.53
Guatemala,2018,125,2.41,132,2.16,122,2.2,130,2.33,136,2.25,122,2.42,88,3.11
Turkmenistan,2018,126,2.41,111,2.35,117,2.23,136,2.29,120,2.31,107,2.56,130,2.72
Gambia,2018,127,2.4,141,2.08,155,1.82,87,2.71,142,2.21,73,2.81,131,2.71
Madagascar,2018,128,2.39,118,2.32,128,2.16,146,2.19,118,2.33,102,2.61,128,2.73
Guinea-Bissau,2018,129,2.39,144,2.01,159,1.78,108,2.53,126,2.28,80,2.78,116,2.86
Mongolia,2018,130,2.37,127,2.22,135,2.1,117,2.49,140,2.21,152,2.1,93,3.06
Bolivia,2018,131,2.36,117,2.32,129,2.15,106,2.54,139,2.21,148,2.13,127,2.74
Guyana,2018,132,2.36,84,2.55,137,2.09,148,2.17,137,2.24,121,2.44,137,2.65
Fiji,2018,133,2.35,101,2.41,99,2.4,149,2.16,119,2.31,132,2.31,143,2.54
Tajikistan,2018,134,2.34,150,1.92,127,2.17,133,2.31,116,2.33,131,2.33,104,2.95
Mauritania,2018,135,2.33,128,2.2,112,2.26,145,2.19,144,2.19,119,2.47,134,2.68
Equatorial Guinea,2018,136,2.32,151,1.91,151,1.88,62,2.88,133,2.25,149,2.12,126,2.75
Myanmar,2018,137,2.3,131,2.17,143,1.99,144,2.2,128,2.28,143,2.2,108,2.91
Syrian Arab Republic,2018,138,2.3,154,1.82,82,2.51,126,2.37,124,2.29,128,2.37,148,2.44
Lesotho,2018,139,2.28,110,2.36,145,1.96,140,2.21,154,2.03,129,2.37,132,2.7
"Yemen, Rep.",2018,140,2.27,104,2.4,131,2.12,141,2.21,131,2.26,146,2.16,151,2.43
Senegal,2018,141,2.25,130,2.17,118,2.22,128,2.36,149,2.11,150,2.11,145,2.52
"Venezuela, RB",2018,142,2.23,156,1.79,134,2.1,123,2.38,141,2.21,133,2.29,141,2.58
Liberia,2018,143,2.23,152,1.91,149,1.91,155,2.08,148,2.14,155,2.05,69,3.25
Somalia,2018,144,2.21,145,2,157,1.81,100,2.61,121,2.3,140,2.23,157,2.2
Guinea,2018,145,2.2,93,2.45,160,1.56,132,2.32,152,2.07,91,2.7,160,2.04
Cuba,2018,146,2.2,143,2.03,139,2.04,137,2.27,143,2.2,147,2.15,147,2.46
Iraq,2018,147,2.18,153,1.84,140,2.03,131,2.32,159,1.91,144,2.19,129,2.72
Papua New Guinea,2018,148,2.17,116,2.32,144,1.97,150,2.15,160,1.88,138,2.26,150,2.44
Bhutan,2018,149,2.17,135,2.14,150,1.91,160,1.8,115,2.35,130,2.35,146,2.49
Gabon,2018,150,2.16,148,1.96,136,2.09,153,2.1,151,2.07,153,2.07,135,2.67
Central African Republic,2018,151,2.15,126,2.24,148,1.93,135,2.3,157,1.93,151,2.1,156,2.33
Zimbabwe,2018,152,2.12,146,2,154,1.83,156,2.06,147,2.16,137,2.26,152,2.39
Haiti,2018,153,2.11,142,2.03,147,1.94,157,2.01,145,2.19,154,2.05,149,2.44
Libya,2018,154,2.11,149,1.95,115,2.25,159,1.99,153,2.05,160,1.64,123,2.77
Eritrea,2018,155,2.09,137,2.13,152,1.86,154,2.09,146,2.17,145,2.17,159,2.08
Sierra Leone,2018,156,2.08,155,1.82,156,1.82,147,2.18,156,2,134,2.27,154,2.34
Niger,2018,157,2.07,157,1.77,142,2,158,2,150,2.1,141,2.22,155,2.33
Burundi,2018,158,2.06,159,1.69,146,1.95,139,2.21,117,2.33,156,2.01,158,2.17
Angola,2018,159,2.05,160,1.57,153,1.86,143,2.2,155,2,157,2,140,2.59
Afghanistan,2018,160,1.95,158,1.73,158,1.81,152,2.1,158,1.92,159,1.7,153,2.38
